topic,dimension,words,Count,Name,Representation
1,Evaluation,Approval,4284,1_好帅_帅哥_太帅_很帅,"['好帅', '帅哥', '太帅', '很帅', '哈哈哈', '帅死', '挺帅', '帅气', '哈哈哈哈', '真帅']"
2,Sexuality,Courtship,3768,2_猴子_熊圈_喜猴_喜熊,"['猴子', '熊圈', '喜猴', '喜熊', '熊熊', '小熊', '狒狒', '熊猴', '北方', '南方']"
3,Sexuality,SexualBehaviors,5371,3_老师_同性恋_上课_男同,"['老师', '同性恋', '上课', '男同', '听课', '同性', '女同', '异性恋', '讲课', '异性']"
4,Evaluation,Approval,4735,4_oi_直女_姐姐_肚皮,"['oi', '直女', '姐姐', '肚皮', '猛拍', '姐妹', '妹妹', '我素', '顺直', '我命']"
5,Evaluation,RecommendationAlgorithms,2342,5_抖音_打开_确诊_我抖音,"['抖音', '打开', '确诊', '我抖音', '刷抖音', '刷个', '走遍', '擦边', '现状', '音刷']"
7,Evaluation,RecommendationAlgorithms,1911,7_视频_刷到_会刷_第一个,"['视频', '刷到', '会刷', '第一个', '这条', '这种', '教程', '能刷', '账号', '反思']"
8,Evaluation,Approval,3584,8_眼神_眼睛_眼镜_近视,"['眼神', '眼睛', '眼镜', '近视', '美瞳', '眼珠子', '近视眼', '感动', '眼里', '有光']"
9,Identity,LoveDefinition,1781,9_喜欢_女生_男生_女孩子,"['喜欢', '女生', '男生', '女孩子', '男孩子', '女孩', '小时候', '男人', '后来', '女人']"
10,Identity,LoveDefinition,2833,10_oi_哈哈哈_喜欢_喜不喜欢,"['oi', '哈哈哈', '喜欢', '喜不喜欢', '猛拍', '肚皮', '爱心', '女生', '刚好', '女孩子']"
11,Identity,LoveDefinition,2379,11_侄女_我素_重操旧业_半侄,"['侄女', '我素', '重操旧业', '半侄', '爱上', '就业', '划船', '荒谬', '爱情', '恋爱']"
12,Division,CarryonthefamilyLineage,4196,12_怀孕_孩子_女儿_能生,"['怀孕', '孩子', '女儿', '能生', '生小孩', '儿子', '生儿育女', '生育', '生个', '生娃']"
13,Evaluation,PublicMorality,1970,13_恶心_素质_没看_乱搞,"['恶心', '素质', '没看', '乱搞', '恶意', '人心', '人性', '看不懂', '群体', '觉得']"
14,Evaluation,RecommendationAlgorithms,1883,14_刷到_会刷_我刷_老刷,"['刷到', '会刷', '我刷', '老刷', '无数次', '能刷', '再刷', '直女', '反思', '没刷']"
15,Sexuality,PhysicalApperances,2144,15_嫂子_这老_看上_衣服,"['嫂子', '这老', '看上', '衣服', '女装', '娇羞', '大嫂', '无数次', '设计', '眼神']"
